Date-Time,Index,Signal,1m_pct_change,3m_pct_change,6m_pct_change,Return,3m_volatility,6m_volatility
2007-07-31,39.98518518518518,1,-0.01797409401833794,-0.024046284577834087,0.03449597546952843,-0.01797409401833794,0.14150737315389378,0.11160970811621748
2007-08-31,42.43296296296296,1,0.06121711745090774,-0.0017687240790436043,0.09463616907437133,0.06121711745090774,0.18727967989870437,0.13551069298567925
2007-09-30,43.730740740740735,1,0.030584189440424403,0.07401579100567601,0.11079438548957632,0.030584189440424403,0.13832954236115824,0.1370998463977449
2007-10-31,44.91888518518518,0,0.02716954765272339,0.12338819933308631,0.09637488700054231,0.02716954765272339,0.06495033589129436,0.1330839861363282
2007-11-30,44.1562962962963,0,-0.016977021708018625,0.04061308032713917,0.03877252291499689,-0.016977021708018625,0.09189829346367519,0.13430210199031067
2007-12-31,41.794074074074075,0,-0.05349683783194381,-0.04428616195065749,0.0264517537476352,-0.05349683783194381,0.13992628275780808,0.14482295534744857
2008-01-31,38.803703703703704,0,-0.07155010456913968,-0.13613831813213262,-0.029547980733604873,-0.07155010456913968,0.09631031910004696,0.18067929495250915
2008-02-29,38.05696296296296,1,-0.019244058413668053,-0.1381305463756689,-0.10312737302411645,-0.019244058413668053,0.09203364387200727,0.14306019366033984
2008-03-31,39.534444444444446,1,0.03882289511434123,-0.054065789940094255,-0.09595758556147449,0.03882289511434123,0.19125842525531775,0.1499790198174966
2008-04-30,39.76296296296296,1,0.005780238516811309,0.024720817027775066,-0.11478295155737106,0.005780238516811309,0.10089404029883092,0.13780038720871673
2008-05-31,40.15037037037037,0,0.009742921013412786,0.05500721141213272,-0.09072151113049609,0.009742921013412786,0.06250063841756831,0.14399055692441892
2008-06-30,35.31814814814815,1,-0.1203531169861447,-0.10664867953870516,-0.15494842437347134,-0.1203531169861447,0.2563213035476617,0.2050116454725627
2008-07-31,35.877407407407404,1,0.01583489759750001,-0.09771795827123697,-0.07541280901021297,0.01583489759750001,0.26649302654335405,0.19558160269572727
2008-08-31,36.35222222222222,0,0.01323436806408651,-0.09459808497684641,-0.044794450424218035,0.01323436806408651,0.2698130991339558,0.19790250910935842
2008-09-30,32.32962962962963,0,-0.1106560299946,-0.08461707861869361,-0.18224145845629225,-0.1106560299946,0.2504218370993385,0.22711402702178388
2008-10-31,26.574074074074073,0,-0.17802726543704894,-0.2593089636519422,-0.331687779433681,-0.17802726543704894,0.3360616804864974,0.2943460184890591
2008-11-30,25.414074074074072,1,-0.043651567944250846,-0.30089352120711954,-0.36702765529583237,-0.043651567944250846,0.23274582435083369,0.2720847791611983
2008-12-31,27.415925925925922,0,0.07876941910285917,-0.15198762744873417,-0.2237439570465295,0.07876941910285917,0.44494553225524963,0.3252371999427154
2009-01-31,24.68,0,-0.09979330748551118,-0.07127526132404172,-0.3121019108280254,-0.09979330748551118,0.31630188211574234,0.32087990888548784
2009-02-28,23.314814814814813,1,-0.055315445104748284,-0.08260223265032496,-0.3586412772157186,-0.055315445104748284,0.32199900117300895,0.29892319202902823
2009-03-31,25.694074074074074,1,0.1020492454328834,-0.06280480391229737,-0.2052468782220186,0.1020492454328834,0.367375399934676,0.3693314050880237
2009-04-30,28.337407407407404,1,0.10287715858967328,0.14819316885767453,0.06635540069686408,0.10287715858967328,0.3155605524517285,0.31339687978793274
2009-05-31,29.345555555555553,1,0.03557658375919792,0.25866560762509927,0.1546970182750882,0.03557658375919792,0.1337809221278714,0.29797298429825847
2009-06-30,29.445185185185185,1,0.0033950500422803565,0.1459912935681955,0.07401753509044506,0.0033950500422803565,0.17585055249228385,0.285571249618657
2009-07-31,31.88259259259259,1,0.08277779175366651,0.1251061938806186,0.29183924605318445,0.08277779175366651,0.13831286874421184,0.2186185508736279
2009-08-31,32.03259259259259,1,0.004704761683491654,0.09156538311057272,0.37391580619539333,0.004704761683491654,0.1574721121375982,0.16134752164700367
2009-09-30,33.05592592592592,0,0.0319466284340022,0.12262584589066927,0.2865194453253377,0.0319466284340022,0.1372685287516504,0.1418008529358725
2009-10-31,31.624444444444443,1,-0.043304836920594614,-0.008096836773811344,0.11599639267556294,-0.043304836920594614,0.1319835133658148,0.14565355483541867
2009-11-30,33.22222222222222,1,0.050523505024242965,0.03713810008324847,0.13210404755594274,0.050523505024242965,0.17211415475770986,0.1511223491853922
2009-12-31,34.480370370370366,0,0.03787068004459293,0.04309195415177425,0.17100198737138683,0.03787068004459293,0.17637072481933297,0.14896401234780288
2010-01-31,33.925555555555555,1,-0.016090744062644213,0.07276368491321761,0.06407769245960293,-0.016090744062644213,0.1225511114030108,0.12437461612246556
2010-02-28,35.959259259259255,1,0.05994606928023227,0.08238573021181717,0.12258347978910344,0.05994606928023227,0.13550464999346326,0.1411328542401752
2010-03-31,38.391851851851854,1,0.06764857348851594,0.11344081979011156,0.1614211605472211,0.06764857348851594,0.16033214810730917,0.15649143467398338
2010-04-30,40.24666666666666,0,0.04831272067761283,0.18632299479251957,0.2726442273909071,0.04831272067761283,0.03372057457142599,0.10371041375007435
2010-05-31,38.584074074074074,0,-0.041310069386928605,0.07299412915851278,0.16139353400222967,-0.041310069386928605,0.20138572720099307,0.15358095429968688
2010-06-30,35.83037037037037,1,-0.07136892020311592,-0.06671940419456301,0.03915271168780943,-0.07136892020311592,0.21568251748923176,0.20313115164875012
2010-07-31,38.507407407407406,0,0.07471418825329224,-0.04321498904901255,0.13505605956396893,0.07471418825329224,0.2672281326868144,0.21752172757471752
2010-08-31,37.80814814814815,1,-0.018159084351255128,-0.020110005087495275,0.051416211762282504,-0.018159084351255128,0.25611327951493346,0.21368595334243504
2010-09-30,39.7562962962963,1,0.05152720362061869,0.10956978354799385,0.035539948677381306,0.05152720362061869,0.16744706478128119,0.2042508059899374
